Segment,VADER_Positive,VADER_Neutral,VADER_Negative
2024-12-18 13:50:00,0.0,0.0,0.0
2024-12-18 13:55:00,0.0,0.0,0.0
2024-12-18 14:00:00,0.0,0.0,0.0
2024-12-18 14:05:00,0.198,0.777,0.025
2024-12-18 14:10:00,0.0,0.0,0.0
2024-12-18 14:15:00,0.136,0.792,0.072
2024-12-18 14:20:00,0.0,0.0,0.0
2024-12-18 14:25:00,0.159,0.781,0.06
2024-12-18 14:30:00,0.245,0.716,0.039
2024-12-18 14:35:00,0.153,0.737,0.11
2024-12-18 14:40:00,0.136,0.803,0.06
2024-12-18 14:45:00,0.0,0.0,0.0
2024-12-18 14:50:00,0.0,0.0,0.0
2024-12-18 14:55:00,0.0,0.0,0.0
2024-12-18 15:00:00,0.0,0.0,0.0
2024-12-18 15:05:00,0.0,0.0,0.0
2024-12-18 15:10:00,0.0,0.0,0.0
2024-12-18 15:15:00,0.0,0.0,0.0
2024-12-18 15:20:00,0.0,0.0,0.0
2024-12-18 15:25:00,0.0,0.0,0.0
2024-12-18 15:30:00,0.0,0.0,0.0
2024-12-18 15:35:00,0.202,0.727,0.07
2024-12-18 15:40:00,0.0,0.0,0.0
2024-12-18 15:45:00,0.0,0.0,0.0
2024-12-18 15:50:00,0.22,0.699,0.081
2024-12-18 15:55:00,0.0,0.0,0.0
2024-12-19 09:30:00,0.15154716981132074,0.7943962264150943,0.0540188679245283
2024-12-19 09:35:00,0.1615,0.813,0.026000000000000002
2024-12-19 09:40:00,0.0,0.0,0.0
2024-12-19 09:45:00,0.179,0.804,0.017
2024-12-19 09:50:00,0.0,0.0,0.0
2024-12-19 09:55:00,0.0,0.0,0.0
2024-12-19 10:00:00,0.015,0.872,0.113
2024-12-19 10:05:00,0.191,0.7475,0.062
2024-12-19 10:10:00,0.0,0.0,0.0
2024-12-19 10:15:00,0.0,0.0,0.0
2024-12-19 10:20:00,0.0,0.0,0.0
2024-12-19 10:25:00,0.0,0.0,0.0
2024-12-19 10:30:00,0.0,0.0,0.0
2024-12-19 10:35:00,0.0,0.0,0.0
2024-12-19 10:40:00,0.0,0.0,0.0
2024-12-19 10:45:00,0.0,0.0,0.0
2024-12-19 10:50:00,0.0,0.0,0.0
2024-12-19 10:55:00,0.0,0.0,0.0
2024-12-19 11:00:00,0.0,0.0,0.0
2024-12-19 11:05:00,0.0,0.0,0.0
2024-12-19 11:10:00,0.0,0.0,0.0
2024-12-19 11:15:00,0.197,0.771,0.032
2024-12-19 11:20:00,0.0,0.0,0.0
2024-12-19 11:25:00,0.0,0.0,0.0
2024-12-19 11:30:00,0.0,0.0,0.0
2024-12-19 11:35:00,0.274,0.593,0.133
2024-12-19 11:40:00,0.087,0.884,0.029
2024-12-19 11:45:00,0.277,0.685,0.038
2024-12-19 11:50:00,0.0,0.0,0.0
2024-12-19 11:55:00,0.0,0.0,0.0
2024-12-19 12:00:00,0.0,0.0,0.0
2024-12-19 12:05:00,0.0,0.0,0.0
2024-12-19 12:10:00,0.0,0.0,0.0
2024-12-19 12:15:00,0.0,0.0,0.0
2024-12-19 12:20:00,0.0,0.0,0.0
2024-12-19 12:25:00,0.0,0.0,0.0
2024-12-19 12:30:00,0.0,0.0,0.0
2024-12-19 12:35:00,0.1,0.8275,0.07250000000000001
2024-12-19 12:40:00,0.0,0.0,0.0
2024-12-19 12:45:00,0.0,0.0,0.0
2024-12-19 12:50:00,0.0,0.0,0.0
2024-12-19 12:55:00,0.0,0.0,0.0
2024-12-19 13:00:00,0.0,0.0,0.0
2024-12-19 13:05:00,0.0,0.0,0.0
2024-12-19 13:10:00,0.0,0.0,0.0
2024-12-19 13:15:00,0.0,0.0,0.0
2024-12-19 13:20:00,0.0,0.0,0.0
2024-12-19 13:25:00,0.0,0.0,0.0
2024-12-19 13:30:00,0.223,0.756,0.021
